Class,Metric,ssd,yolov8n
A. flava,Precision (%),3.03,0.00
A. flava,Recall (%),100.00,0.00
A. flava,F1-Score (%),5.88,0.00

B. tabaci,Precision (%),4.33,0.00
B. tabaci,Recall (%),100.00,0.00
B. tabaci,F1-Score (%),8.30,0.00

Coccinelle,Precision (%),3.08,0.00
Coccinelle,Recall (%),90.00,0.00
Coccinelle,F1-Score (%),5.95,0.00

Degat Jassides,Precision (%),1.14,0.00
Degat Jassides,Recall (%),99.47,0.00
Degat Jassides,F1-Score (%),2.25,0.00

Dysdercus spp,Precision (%),2.96,0.00
Dysdercus spp,Recall (%),100.00,0.00
Dysdercus spp,F1-Score (%),5.74,0.00

Earias spp,Precision (%),2.47,0.00
Earias spp,Recall (%),100.00,0.00
Earias spp,F1-Score (%),4.81,0.00

Effet phyto,Precision (%),1.73,0.00
Effet phyto,Recall (%),98.48,0.00
Effet phyto,F1-Score (%),3.41,0.00

G. spodoctera,Precision (%),4.46,0.00
G. spodoctera,Recall (%),100.00,0.00
G. spodoctera,F1-Score (%),8.55,0.00

H. amirgera,Precision (%),2.05,0.00
H. amirgera,Recall (%),100.00,0.00
H. amirgera,F1-Score (%),4.01,0.00

Jasside,Precision (%),0.17,0.00
Jasside,Recall (%),47.57,0.00
Jasside,F1-Score (%),0.33,0.00

Larve coccinelle,Precision (%),1.37,0.00
Larve coccinelle,Recall (%),76.79,0.00
Larve coccinelle,F1-Score (%),2.68,0.00

Larve syrphe,Precision (%),2.87,0.00
Larve syrphe,Recall (%),97.62,0.00
Larve syrphe,F1-Score (%),5.58,0.00

P. gossypiella,Precision (%),2.08,0.00
P. gossypiella,Recall (%),89.29,0.00
P. gossypiella,F1-Score (%),4.06,0.00

Puceron,Precision (%),0.10,0.00
Puceron,Recall (%),49.50,0.00
Puceron,F1-Score (%),0.20,0.00

S. derogata,Precision (%),0.90,0.00
S. derogata,Recall (%),100.00,0.00
S. derogata,F1-Score (%),1.79,0.00

S. frugiperda,Precision (%),2.04,0.00
S. frugiperda,Recall (%),98.52,0.00
S. frugiperda,F1-Score (%),4.00,0.00

Scarabees,Precision (%),3.18,0.00
Scarabees,Recall (%),100.00,0.00
Scarabees,F1-Score (%),6.16,0.00

